iter	RMSE
0	503.378942
1	483.1719923
2	463.5648651
3	446.3356744
4	429.7662966
5	414.7422064
6	399.5715815
7	384.2653943
8	370.3710521
9	358.4766651
10	345.6193174
11	333.1343284
12	321.2184383
13	309.1320667
14	299.5677881
15	289.440696
16	279.2756593
17	269.4648548
18	260.9326523
19	252.6684014
20	244.4639833
21	236.8709441
22	229.2032581
23	221.5983054
24	214.6641262
25	207.7656812
26	201.2770074
27	194.727422
28	188.5006994
29	183.6496739
30	178.3630024
31	173.7058544
32	168.9550746
33	164.3118953
34	159.2678218
35	155.195071
36	151.0037057
37	146.7386897
38	142.5612075
39	139.2304797
40	136.1390528
41	132.433124
42	128.7155564
43	125.4881222
44	122.5498453
45	119.2210553
46	116.2668074
47	113.3852311
48	110.949713
49	108.1700125
50	105.5566331
51	103.2795057
52	101.1278367
53	99.11902707
54	97.50654892
55	95.55226011
56	93.28184523
57	91.32691614
58	89.53038398
59	87.60580289
60	85.94168225
61	84.66367668
62	83.43907693
63	82.0427867
64	80.48293592
65	79.51168203
66	78.05371892
67	76.66177517
68	75.55063443
69	74.44773065
70	73.33279446
71	72.10620043
72	71.04326776
73	69.79907826
74	68.94270751
75	68.2859877
76	67.56883597
77	66.75093725
78	65.85294211
79	65.17885136
80	64.41486
81	63.80328175
82	62.97476453
83	62.26929892
84	61.43157152
85	60.91673846
86	60.34338112
87	59.56010238
88	58.9518579
89	58.29032515
90	57.78121659
91	57.32047968
92	56.68021519
93	56.20469604
94	55.62352295
95	55.01536886
96	54.52112891
97	54.03927935
98	53.40932646
99	52.81067363
100	52.30950218
101	51.88182567
102	51.41944904
103	51.03956222
104	50.64953916
105	50.33144243
106	49.97782352
107	49.50965253
108	49.23273191
109	48.92940591
110	48.64877282
111	48.33775063
112	48.0439909
113	47.73149271
114	47.4719637
115	47.14707478
116	46.89044227
117	46.57303275
118	46.17876873
119	45.93182445
120	45.64579578
121	45.3793346
122	45.11612847
123	44.85726462
124	44.58613411
125	44.32421204
126	44.07312502
127	43.83622786
128	43.48765752
129	43.1609834
130	42.88204283
131	42.68790162
132	42.42389121
133	42.17901164
134	41.89129342
135	41.67884294
136	41.43299279
137	41.18622605
138	41.0311985
139	40.78233947
140	40.62366852
141	40.35869612
142	40.08980305
143	39.87063325
144	39.69255432
145	39.42562332
146	39.1949318
147	39.03901991
148	38.90809913
149	38.7322987
150	38.62124355
151	38.36371997
152	38.26588379
153	38.00382384
154	37.85003886
155	37.72125015
156	37.57026983
157	37.48862821
158	37.241595
159	37.11101031
160	37.03026988
161	36.76669516
162	36.57354178
163	36.47451043
164	36.25012998
165	36.18134253
166	35.91221065
167	35.73814053
168	35.53767458
169	35.35945574
170	35.25534374
171	35.09140248
172	35.00801154
173	34.9499475
174	34.89536701
175	34.67282344
176	34.57889305
177	34.45443013
178	34.38110842
179	34.23669522
180	34.14051223
181	33.92632573
182	33.83425267
183	33.78577424
184	33.74371881
185	33.66178115
186	33.59967348
187	33.5506604
188	33.34755099
189	33.29741423
190	33.11316557
191	33.06567527
192	33.03463623
193	33.00309159
194	32.96042615
195	32.9333833
196	32.75373216
197	32.58438844
198	32.54597031
199	32.51729356
200	32.48192289
201	32.45589175
202	32.43163429
203	32.40973164
204	32.38639745
205	32.36384603
206	32.34406528
207	32.19634527
208	32.16579477
209	32.14112038
210	31.9835347
211	31.84408403
212	31.81981903
213	31.66365475
214	31.61479783
215	31.59643023
216	31.35271536
217	31.22707982
218	31.19867256
219	31.06773795
220	31.0519683
221	31.02521778
222	31.00807012
223	30.86455398
224	30.8446212
225	30.67944133
226	30.63784322
227	30.59207928
228	30.45273705
229	30.43454575
230	30.39671406
231	30.31843667
232	30.14640756
233	29.99427216
234	29.9742499
235	29.90364701
236	29.78731318
237	29.58782043
238	29.43297851
239	29.34737259
240	29.31245471
241	29.29512666
242	29.14509823
243	29.13037715
244	29.10669328
245	28.94358096
246	28.80068515
247	28.785455
248	28.67736274
249	28.66279149
250	28.58200045
251	28.56609124
252	28.46542043
253	28.3261422
254	28.24930735
255	28.17569626
256	28.1095624
257	27.95613202
258	27.78781841
259	27.77568026
260	27.69800913
261	27.68678211
262	27.59827828
263	27.4908929
264	27.48099323
265	27.46875519
266	27.45924418
267	27.39372268
268	27.34943462
269	27.2384303
270	27.22675161
271	27.11200756
272	27.10183238
273	26.99659105
274	26.92926953
275	26.83191559
276	26.72506987
277	26.71503485
278	26.65124193
279	26.5635771
280	26.50969115
281	26.50032908
282	26.39982079
283	26.34825357
284	26.18068861
285	26.16355757
286	26.0708901
287	25.97670888
288	25.89462863
289	25.88295806
290	25.81028874
291	25.79804395
292	25.69338831
293	25.67640424
294	25.55746797
295	25.42058302
296	25.30213118
297	25.29037845
298	25.17011651
299	25.1622196
