iter	Passed	Remaining
0	0	236
1	1	202
2	1	196
3	2	192
4	3	182
5	3	178
6	4	170
7	4	168
8	5	170
9	5	170
10	6	168
11	6	165
12	7	162
13	7	159
14	8	167
15	9	171
16	10	173
17	11	174
18	12	187
19	13	192
20	14	193
21	15	194
22	15	192
23	16	191
24	17	189
25	17	187
26	18	185
27	18	182
28	19	184
29	20	183
30	20	181
31	21	179
32	21	177
33	22	177
34	23	179
35	24	178
36	24	177
37	25	175
38	25	173
39	26	172
40	27	171
41	28	172
42	28	171
43	29	170
44	29	168
45	30	168
46	31	167
47	31	167
48	32	165
49	32	163
50	33	163
51	33	162
52	34	160
53	35	160
54	36	161
55	37	165
56	38	164
57	39	164
58	40	164
59	41	164
60	41	163
61	42	163
62	43	162
63	43	161
64	44	159
65	44	158
66	45	156
67	46	157
68	46	156
69	47	155
70	48	154
71	48	153
72	49	153
73	50	154
74	51	153
75	51	152
76	52	151
77	52	149
78	53	148
79	53	147
80	54	147
81	54	146
82	55	145
83	56	144
84	56	143
85	57	142
86	58	142
87	58	141
88	59	141
89	60	140
90	61	140
91	61	139
92	62	140
93	63	139
94	64	138
95	64	137
96	65	137
97	66	136
98	66	135
99	67	134
100	67	133
101	68	133
102	69	132
103	70	132
104	70	131
105	71	130
106	72	130
107	72	129
108	73	128
109	73	127
110	74	127
111	75	126
112	76	126
113	77	126
114	77	125
115	79	126
116	80	125
117	81	125
118	81	124
119	82	123
120	82	122
121	83	121
122	83	120
123	84	120
124	85	119
125	85	118
126	86	117
127	87	117
128	88	117
129	88	116
130	89	115
131	90	114
132	90	113
133	91	113
134	92	113
135	93	112
136	94	112
137	94	111
138	95	110
139	96	110
140	97	110
141	98	109
142	99	109
143	100	108
144	100	107
145	101	107
146	101	106
147	102	105
148	104	106
149	106	106
150	107	105
151	108	105
152	109	104
153	109	104
154	110	103
155	111	102
156	112	102
157	112	101
158	113	101
159	114	100
160	115	99
161	115	98
162	116	98
163	117	97
164	118	97
165	119	96
166	120	96
167	121	95
168	121	94
169	122	93
170	123	92
171	123	92
172	124	91
173	126	91
174	126	90
175	127	89
176	128	89
177	129	88
178	130	88
179	132	88
180	133	87
181	134	87
182	135	86
183	136	85
184	137	85
185	138	85
186	139	84
187	140	83
188	141	82
189	142	82
190	142	81
191	143	80
192	144	79
193	144	79
194	145	78
195	146	77
196	146	76
197	147	76
198	148	75
199	149	74
200	149	73
201	150	72
202	150	72
203	151	71
204	152	70
205	153	69
206	154	69
207	156	69
208	157	68
209	157	67
210	158	66
211	159	66
212	159	65
213	160	64
214	160	63
215	161	62
216	162	62
217	163	61
218	163	60
219	164	59
220	164	58
221	165	58
222	165	57
223	166	56
224	167	55
225	167	54
226	168	54
227	169	53
228	170	52
229	171	52
230	173	51
231	173	50
232	174	50
233	175	49
234	175	48
235	176	47
236	176	47
237	177	46
238	178	45
239	179	44
240	180	44
241	181	43
242	182	42
243	182	41
244	183	41
245	183	40
246	184	39
247	185	38
248	186	38
249	188	37
250	189	36
251	189	36
252	190	35
253	191	34
254	192	33
255	193	33
256	194	32
257	195	31
258	196	31
259	196	30
260	197	29
261	198	28
262	198	27
263	199	27
264	200	26
265	201	25
266	202	24
267	202	24
268	204	23
269	205	22
270	205	22
271	206	21
272	207	20
273	208	19
274	209	19
275	209	18
276	210	17
277	211	16
278	211	15
279	212	15
280	212	14
281	213	13
282	213	12
283	214	12
284	214	11
285	215	10
286	216	9
287	217	9
288	218	8
289	219	7
290	219	6
291	220	6
292	221	5
293	221	4
294	222	3
295	222	3
296	223	2
297	223	1
298	224	0
299	225	0
